time,lon,lat,pressure,temperature,conductivity,salinity,oxygen,fluorescence,project,date,month,season
2020-02-05T13:07:50Z,39.25671,-5.140412,76,26.483808108108104,5.484668972972972,35.13534054054055,4.605591891891892,0.17752432432432436,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,78,26.45059555555556,5.481462955555556,35.13694888888889,4.6081051111111115,0.19058666666666663,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,80,26.378441176470584,5.477487549019608,35.16260980392157,4.6130007843137255,0.1889274509803921,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,82,26.31362278481011,5.470949126582277,35.164046835443074,4.617968860759494,0.18034683544303792,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,84,26.290726126126128,5.468135504504504,35.160799999999995,4.619824324324322,0.17700270270270252,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,86,26.244936363636363,5.46221493939394,35.15217878787879,4.623595454545454,0.1753242424242425,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,88,26.18515909090909,5.455017409090909,35.14507272727273,4.628418181818182,0.1642681818181818,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,90,26.080227272727274,5.4410873939393944,35.12363030303031,4.637143333333334,0.15705757575757584,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,92,25.929624,5.426464480000001,35.131964,4.6486844000000005,0.13778000000000004,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,94,25.647043333333336,5.392467533333333,35.099943333333336,4.671791000000001,0.1382866666666667,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,96,25.149517142857146,5.337373514285714,35.077957142857144,4.711972571428571,0.09886000000000002,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,98,25.01101142857142,5.3200534,35.05642,4.723696571428572,0.09020857142857139,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,100,24.859503225806453,5.302489516129033,35.04292258064516,4.736311935483871,0.0864064516129032,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,102,24.81004500000001,5.297556900000002,35.0440525,4.740293,0.08517749999999999,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,104,24.786158139534887,5.294929372093024,35.042437209302335,4.742277441860465,0.08556976744186044,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,106,24.77091111111112,5.293313399999999,35.04158666666667,4.743538444444444,0.07987999999999996,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,108,24.701971111111117,5.285917044444444,35.039517777777775,4.7492106666666665,0.06717111111111108,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,110,24.599138095238096,5.275701619047619,35.04273571428571,4.757514285714285,0.05291666666666666,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,112,24.344442857142862,5.248317244897961,35.03576734693877,4.7786542857142855,0.038118367346938783,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,114,23.978176595744678,5.212277319148936,35.05094893617021,4.808581063829789,0.02044893617021277,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,116,23.69779615384616,5.184194057692306,35.05835384615385,4.831876153846153,0.018634615384615392,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,118,23.40358833333334,5.155472150000002,35.071551666666664,4.856398666666666,0.008173333333333331,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,120,23.29342708333333,5.1445660416666685,35.074818750000006,4.865683541666665,0.008233333333333332,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,122,23.202233898305085,5.135344847457627,35.07597288135594,4.873444576271189,0.01075593220338983,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,124,23.151731081081074,5.130510324324323,35.07848513513513,4.8776978378378395,0.011222972972972972,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,126,23.045213461538474,5.119201403846154,35.07564615384615,4.886927692307691,0.007796153846153842,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,128,22.707367272727268,5.084664018181819,35.078230909090905,4.916101272727272,0.006852727272727272,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,130,21.91163673469388,5.005315448979592,35.09906734693877,4.985664285714285,0.004044897959183673,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,132,21.643386363636367,4.979659704545455,35.11377272727272,5.009287727272727,0.004354545454545455,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,134,21.345123333333337,4.9511237333333336,35.12988333333333,5.035831999999999,-0.0013799999999999997,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,136,21.18171454545454,4.9365114,35.14647090909091,5.050256181818182,-0.004534545454545454,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,138,21.115619999999996,4.929508066666668,35.14404666666667,5.056386333333333,0.0026600000000000005,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,140,20.965322916666665,4.914363604166666,35.14549791666667,5.070170416666667,-0.0033145833333333326,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,142,20.848507446808515,4.9026102340425535,35.14666808510637,5.080929787234043,-0.003076595744680852,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,144,20.723106451612907,4.890076758064515,35.14840483870966,5.092515161290324,-0.0034935483870967747,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,146,20.486272413793106,4.866441689655169,35.15245057471264,5.114515632183907,-0.003389655172413793,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,0,28.817959797297284,5.674846864864862,34.759851013513504,4.44164743243243,0.017195945945945958,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,2,28.52780260869566,5.637979226086955,34.71624782608696,4.463648956521741,0.028524347826086958,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,4,28.33529655172415,5.623170977011493,34.753809195402305,4.476694252873561,0.03261379310344826,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,6,28.201315217391308,5.614287456521738,34.78984130434782,4.48557347826087,0.0402586956521739,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,8,28.172406060606058,5.612433636363638,34.79760606060605,4.487493333333333,0.04606060606060606,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,10,28.12243636363637,5.606654045454546,34.79343181818182,4.491262727272727,0.052468181818181824,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,12,27.982760000000006,5.594350950000001,34.809865,4.5011075,0.078935,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,14,27.956962500000003,5.5921856666666665,34.81314583333334,4.50292375,0.07532916666666667,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,16,27.873126315789477,5.583456815789472,34.813336842105265,4.509108157894737,0.08261052631578944,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,18,27.674684375000005,5.567606874999999,34.848490625000004,4.5229156249999996,0.0831625,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,20,27.616967499999994,5.563722700000001,34.86340249999999,4.526829,0.07207999999999999,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,22,27.505570000000006,5.5550106,34.884220000000006,4.534606500000001,0.085975,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,24,27.43949,5.5504340999999995,34.900450000000006,4.539131,0.11168000000000003,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,26,27.412523076923076,5.548798846153845,34.90845384615385,4.540946923076924,0.13973076923076921,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,28,27.29211333333334,5.537382066666667,34.91692666666666,4.549764,0.17498666666666668,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,30,27.175195833333337,5.528523,34.94103333333333,4.557944166666666,0.2436166666666666,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,32,27.108940909090915,5.521677272727272,34.94135000000001,4.562934545454546,0.2675454545454545,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,34,27.058775000000008,5.5164747499999995,34.941306250000004,4.566728750000001,0.27964374999999997,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,36,27.020608108108114,5.512526270270271,34.94128378378378,4.569618918918919,0.2650162162162162,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,38,26.976211999999997,5.507922000000001,34.941232,4.5729864000000005,0.26005599999999995,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,40,26.961537777777767,5.50631882222222,34.94018444444445,4.574126444444445,0.24457333333333342,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,42,26.820348148148145,5.489869666666667,34.928229629629634,4.585178888888889,0.23484444444444444,DPFA,2020-02-05,2,NE
2020-02-05T14:01:25Z,39.193245,-5.1464868,44,26.544253846153847,5.462748769230769,34.94124615384616,4.605979230769231,0.22259230769230764,DPFA,2020-02-05,2,NE
